aoa,item_id,item_kind,item_definition,category,lexical_category,uni_lemma,complexity_category,language
17,item_90,word,banana,food_drink,nouns,banana,NA,English (American)
17,item_174,word,shoe,clothing,nouns,shoe,NA,English (American)
18,item_18,word,bird,animals,nouns,bird,NA,English (American)
18,item_22,word,cat,animals,nouns,cat,NA,English (American)
18,item_28,word,duck,animals,nouns,duck,NA,English (American)
18,item_60,word,car,vehicles,nouns,car,NA,English (American)
18,item_191,word,eye,body_parts,nouns,eye,NA,English (American)
18,item_202,word,nose,body_parts,nouns,nose,NA,English (American)
19,item_36,word,kitty,animals,nouns,kitty,NA,English (American)
19,item_71,word,balloon,toys,nouns,balloon,NA,English (American)
19,item_75,word,bubbles,toys,nouns,bubbles,NA,English (American)
19,item_88,word,apple,food_drink,nouns,apple,NA,English (American)
19,item_99,word,cheese,food_drink,nouns,cheese,NA,English (American)
19,item_104,word,cookie,food_drink,nouns,cookie,NA,English (American)
19,item_125,word,milk,food_drink,nouns,milk,NA,English (American)
19,item_165,word,hat,clothing,nouns,hat,NA,English (American)
19,item_190,word,ear,body_parts,nouns,ear,NA,English (American)
20,item_16,word,bear,animals,nouns,bear,NA,English (American)
20,item_30,word,fish (animal),animals,nouns,fish (animal),NA,English (American)
20,item_69,word,truck,vehicles,nouns,truck,NA,English (American)
20,item_121,word,juice,food_drink,nouns,juice,NA,English (American)
20,item_154,word,water (beverage),food_drink,nouns,water (beverage),NA,English (American)
20,item_162,word,diaper,clothing,nouns,diaper,NA,English (American)
20,item_203,word,owie/boo boo,body_parts,nouns,owie,NA,English (American)
20,item_213,word,bottle,household,nouns,bottle,NA,English (American)
21,item_24,word,cow,animals,nouns,cow,NA,English (American)
21,item_56,word,airplane,vehicles,nouns,airplane,NA,English (American)
21,item_106,word,cracker,food_drink,nouns,cracker,NA,English (American)
21,item_179,word,sock,clothing,nouns,sock,NA,English (American)
21,item_186,word,belly button,body_parts,nouns,belly button,NA,English (American)
21,item_195,word,hair,body_parts,nouns,hair,NA,English (American)
21,item_201,word,mouth,body_parts,nouns,mouth,NA,English (American)
21,item_223,word,cup,household,nouns,cup,NA,English (American)
21,item_250,word,spoon,household,nouns,spoon,NA,English (American)
21,item_264,word,bed,furniture_rooms,nouns,bed,NA,English (American)
21,item_271,word,door,furniture_rooms,nouns,door,NA,English (American)
21,item_322,word,tree,outside,nouns,tree,NA,English (American)
21,item_323,word,water (not beverage),outside,nouns,water (not beverage),NA,English (American)
22,item_17,word,bee,animals,nouns,bee,NA,English (American)
22,item_20,word,bunny,animals,nouns,bunny,NA,English (American)
22,item_35,word,horse,animals,nouns,horse,NA,English (American)
22,item_39,word,monkey,animals,nouns,monkey,NA,English (American)
22,item_44,word,pig,animals,nouns,pig,NA,English (American)
22,item_46,word,puppy,animals,nouns,puppy,NA,English (American)
22,item_58,word,boat,vehicles,nouns,boat,NA,English (American)
22,item_59,word,bus,vehicles,nouns,bus,NA,English (American)
22,item_67,word,train,vehicles,nouns,train,NA,English (American)
22,item_87,word,toy (object),toys,nouns,toy (object),NA,English (American)
22,item_134,word,pizza,food_drink,nouns,pizza,NA,English (American)
22,item_194,word,foot,body_parts,nouns,foot,NA,English (American)
22,item_196,word,hand,body_parts,nouns,hand,NA,English (American)
22,item_197,word,head,body_parts,nouns,head,NA,English (American)
22,item_206,word,toe,body_parts,nouns,toe,NA,English (American)
22,item_209,word,tummy,body_parts,nouns,tummy,NA,English (American)
22,item_212,word,blanket,household,nouns,blanket,NA,English (American)
22,item_231,word,keys,household,nouns,key,NA,English (American)
22,item_234,word,light,household,nouns,light (object),NA,English (American)
22,item_252,word,telephone,household,nouns,telephone,NA,English (American)
22,item_267,word,chair,furniture_rooms,nouns,chair,NA,English (American)
22,item_281,word,potty,furniture_rooms,nouns,potty,NA,English (American)
22,item_297,word,flower,outside,nouns,flower,NA,English (American)
22,item_303,word,moon,outside,nouns,moon,NA,English (American)
23,item_19,word,bug,animals,nouns,bug,NA,English (American)
23,item_23,word,chicken (animal),animals,nouns,chicken (animal),NA,English (American)
23,item_29,word,elephant,animals,nouns,elephant,NA,English (American)
23,item_31,word,frog,animals,nouns,frog,NA,English (American)
23,item_53,word,turtle,animals,nouns,turtle,NA,English (American)
23,item_57,word,bicycle,vehicles,nouns,bicycle,NA,English (American)
23,item_73,word,block,toys,nouns,blocks,NA,English (American)
23,item_78,word,doll,toys,nouns,doll,NA,English (American)
23,item_92,word,bread,food_drink,nouns,bread,NA,English (American)
23,item_94,word,cake,food_drink,nouns,cake,NA,English (American)
23,item_97,word,cereal,food_drink,nouns,cereal,NA,English (American)
23,item_100,word,chicken (food),food_drink,nouns,chicken (food),NA,English (American)
23,item_108,word,drink (beverage),food_drink,nouns,drink (beverage),NA,English (American)
23,item_109,word,egg,food_drink,nouns,egg,NA,English (American)
23,item_113,word,grapes,food_drink,nouns,grapes,NA,English (American)
23,item_118,word,ice cream,food_drink,nouns,ice cream,NA,English (American)
23,item_129,word,orange (food),food_drink,nouns,orange (food),NA,English (American)
23,item_159,word,boots,clothing,nouns,boots,NA,English (American)
23,item_171,word,pants,clothing,nouns,pants,NA,English (American)
23,item_173,word,shirt,clothing,nouns,shirt,NA,English (American)
23,item_185,word,arm,body_parts,nouns,arm,NA,English (American)
23,item_187,word,buttocks/bottom*,body_parts,nouns,butt,NA,English (American)
23,item_193,word,finger,body_parts,nouns,finger,NA,English (American)
23,item_208,word,tooth,body_parts,nouns,tooth,NA,English (American)
23,item_214,word,bowl,household,nouns,bowl,NA,English (American)
23,item_215,word,box,household,nouns,box,NA,English (American)
23,item_217,word,brush,household,nouns,brush (object),NA,English (American)
23,item_225,word,fork,household,nouns,fork,NA,English (American)
23,item_243,word,pillow,household,nouns,pillow,NA,English (American)
23,item_254,word,toothbrush,household,nouns,toothbrush,NA,English (American)
23,item_263,word,bathtub,furniture_rooms,nouns,bathtub,NA,English (American)
23,item_291,word,TV,furniture_rooms,nouns,tv,NA,English (American)
23,item_305,word,rain,outside,nouns,rain,NA,English (American)
23,item_306,word,rock,outside,nouns,rock (object),NA,English (American)
23,item_316,word,star,outside,nouns,star,NA,English (American)
23,item_320,word,sun,outside,nouns,sun,NA,English (American)
23,item_321,word,swing (object),outside,nouns,swing (object),NA,English (American)
24,item_21,word,butterfly,animals,nouns,butterfly,NA,English (American)
24,item_38,word,lion,animals,nouns,lion,NA,English (American)
24,item_41,word,mouse,animals,nouns,mouse,NA,English (American)
24,item_42,word,owl,animals,nouns,owl,NA,English (American)
