"theword","block","response","totcount","count","proportion","language"
"accident","category_organization","material",7,1,0.142857142857143,"Turkish"
"accident","category_organization","none of these",7,6,0.857142857142857,"Turkish"
"air conditioner","category_organization","material",7,3,0.428571428571429,"Cantonese"
"air conditioner","category_organization","material",7,3,0.428571428571429,"Mandarin (Beijing)"
"air conditioner","category_organization","material",7,3,0.428571428571429,"Mandarin (Taiwanese)"
"air conditioner","category_organization","none of these",7,1,0.142857142857143,"Cantonese"
"air conditioner","category_organization","none of these",7,1,0.142857142857143,"Mandarin (Beijing)"
"air conditioner","category_organization","none of these",7,1,0.142857142857143,"Mandarin (Taiwanese)"
"air conditioner","category_organization","shape",7,3,0.428571428571429,"Cantonese"
"air conditioner","category_organization","shape",7,3,0.428571428571429,"Mandarin (Beijing)"
"air conditioner","category_organization","shape",7,3,0.428571428571429,"Mandarin (Taiwanese)"
"airplane","category_organization","shape",10,3,0.3,"Russian"
"airplane","category_organization","shape",10,3,0.3,"Turkish"
"airplane","category_organization","shape",10,3,0.3,"Kiswahili"
"airplane","category_organization","shape",10,3,0.3,"Spanish (European)"
"airplane","category_organization","shape",10,3,0.3,"Japanese"
"airplane","category_organization","shape",10,3,0.3,"Spanish (Peruvian)"
"airplane","category_organization","shape",10,3,0.3,"English (Australian)"
"airplane","category_organization","shape",10,3,0.3,"English (American)"
"airplane","category_organization","shape",10,3,0.3,"Cantonese"
"airplane","category_organization","shape",10,3,0.3,"Korean"
"airplane","category_organization","shape",10,3,0.3,"Catalan"
"airplane","category_organization","shape",10,3,0.3,"French (French)"
"airplane","category_organization","shape",10,3,0.3,"Mandarin (Taiwanese)"
"airplane","category_organization","shape",10,3,0.3,"Spanish (Mexican)"
"airplane","category_organization","shape",10,3,0.3,"Mandarin (Beijing)"
"airplane","category_organization","none of these",10,5,0.5,"Russian"
"airplane","category_organization","none of these",10,5,0.5,"Turkish"
"airplane","category_organization","none of these",10,5,0.5,"Kiswahili"
"airplane","category_organization","none of these",10,5,0.5,"Spanish (European)"
"airplane","category_organization","none of these",10,5,0.5,"Japanese"
"airplane","category_organization","none of these",10,5,0.5,"Spanish (Peruvian)"
"airplane","category_organization","none of these",10,5,0.5,"English (Australian)"
"airplane","category_organization","none of these",10,5,0.5,"English (American)"
"airplane","category_organization","none of these",10,5,0.5,"Cantonese"
"airplane","category_organization","none of these",10,5,0.5,"Korean"
"airplane","category_organization","none of these",10,5,0.5,"Catalan"
"airplane","category_organization","none of these",10,5,0.5,"French (French)"
"airplane","category_organization","none of these",10,5,0.5,"Mandarin (Taiwanese)"
"airplane","category_organization","none of these",10,5,0.5,"Spanish (Mexican)"
"airplane","category_organization","none of these",10,5,0.5,"Mandarin (Beijing)"
"airplane","category_organization","material",10,2,0.2,"Russian"
"airplane","category_organization","material",10,2,0.2,"Turkish"
"airplane","category_organization","material",10,2,0.2,"Kiswahili"
"airplane","category_organization","material",10,2,0.2,"Spanish (European)"
"airplane","category_organization","material",10,2,0.2,"Japanese"
"airplane","category_organization","material",10,2,0.2,"Spanish (Peruvian)"
"airplane","category_organization","material",10,2,0.2,"English (Australian)"
"airplane","category_organization","material",10,2,0.2,"English (American)"
"airplane","category_organization","material",10,2,0.2,"Cantonese"
"airplane","category_organization","material",10,2,0.2,"Korean"
"airplane","category_organization","material",10,2,0.2,"Catalan"
"airplane","category_organization","material",10,2,0.2,"French (French)"
"airplane","category_organization","material",10,2,0.2,"Mandarin (Taiwanese)"
"airplane","category_organization","material",10,2,0.2,"Spanish (Mexican)"
"airplane","category_organization","material",10,2,0.2,"Mandarin (Beijing)"
"album","category_organization","material",8,4,0.5,"Russian"
"album","category_organization","none of these",8,1,0.125,"Russian"
"album","category_organization","shape",8,3,0.375,"Russian"
"alligator","category_organization","shape",9,2,0.222222222222222,"English (American)"
"alligator","category_organization","shape",9,2,0.222222222222222,"Mandarin (Beijing)"
"alligator","category_organization","shape",9,2,0.222222222222222,"Mandarin (Taiwanese)"
"alligator","category_organization","none of these",9,6,0.666666666666667,"English (American)"
"alligator","category_organization","none of these",9,6,0.666666666666667,"Mandarin (Beijing)"
"alligator","category_organization","none of these",9,6,0.666666666666667,"Mandarin (Taiwanese)"
"alligator","category_organization","material",9,1,0.111111111111111,"English (American)"
"alligator","category_organization","material",9,1,0.111111111111111,"Mandarin (Beijing)"
"alligator","category_organization","material",9,1,0.111111111111111,"Mandarin (Taiwanese)"
"ambulance","category_organization","none of these",5,4,0.8,"Spanish (European)"
"ambulance","category_organization","none of these",5,4,0.8,"Catalan"
"ambulance","category_organization","none of these",5,4,0.8,"Hebrew"
"ambulance","category_organization","none of these",5,4,0.8,"Mandarin (Taiwanese)"
