Category,Word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1. Things to Ride (13),Train,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Boat,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Bus,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Plane,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Fire Truck,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Sled,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Motorcycle,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Stroller,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Bicycle,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Car,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
