uni_lemma,language
ball,English (American)
dog,English (American)
book,English (American)
banana,English (American)
shoe,English (American)
car,English (American)
eye,English (American)
nose,English (American)
duck,English (American)
bird,English (American)
cat,English (American)
balloon,English (American)
milk,English (American)
apple,English (American)
cheese,English (American)
bubbles,English (American)
ear,English (American)
kitty,English (American)
cookie,English (American)
hat,English (American)
juice,English (American)
water (beverage),English (American)
fish (animal),English (American)
truck,English (American)
bottle,English (American)
owie,English (American)
bear,English (American)
diaper,English (American)
cracker,English (American)
cup,English (American)
hair,English (American)
sock,English (American)
cow,English (American)
mouth,English (American)
spoon,English (American)
water (not beverage),English (American)
tree,English (American)
airplane,English (American)
door,English (American)
bed,English (American)
belly button,English (American)
flower,English (American)
bus,English (American)
blanket,English (American)
horse,English (American)
boat,English (American)
foot,English (American)
moon,English (American)
bunny,English (American)
puppy,English (American)
chair,English (American)
train,English (American)
key,English (American)
pig,English (American)
light (object),English (American)
hand,English (American)
toe,English (American)
telephone,English (American)
head,English (American)
monkey,English (American)
bee,English (American)
pizza,English (American)
potty,English (American)
tummy,English (American)
toy (object),English (American)
blocks,English (American)
toothbrush,English (American)
drink (beverage),English (American)
tooth,English (American)
tv,English (American)
shirt,English (American)
pants,English (American)
egg,English (American)
bread,English (American)
finger,English (American)
fork,English (American)
bug,English (American)
bicycle,English (American)
boots,English (American)
arm,English (American)
ice cream,English (American)
frog,English (American)
brush (object),English (American)
butt,English (American)
cake,English (American)
rain,English (American)
bathtub,English (American)
grapes,English (American)
rock (object),English (American)
doll,English (American)
cereal,English (American)
star,English (American)
bowl,English (American)
box,English (American)
swing (object),English (American)
elephant,English (American)
chicken (food),English (American)
chicken (animal),English (American)
turtle,English (American)
orange (food),English (American)
pillow,English (American)
sun,English (American)
knee,English (American)
soap,English (American)
lion,English (American)
yogurt,English (American)
paper,English (American)
candy,English (American)
button,English (American)
leg,English (American)
fish (food),English (American)
butterfly,English (American)
pajamas,English (American)
ice,English (American)
french fries,English (American)
food,English (American)
slide (object),English (American)
towel,English (American)
mouse,English (American)
coat,English (American)
owl,English (American)
tongue,English (American)
crayon,English (American)
sheep,English (American)
jacket,English (American)
strawberry,English (American)
cheek,English (American)
teddybear,English (American)
bathroom,English (American)
face,English (American)
table,English (American)
grass,English (American)
glasses,English (American)
pool,English (American)
tiger,English (American)
cheerios,English (American)
carrot,English (American)
clock,English (American)
toast,English (American)
kitchen,English (American)
giraffe,English (American)
chin,English (American)
picture,English (American)
plate,English (American)
broom,English (American)
firetruck,English (American)
money,English (American)
pasta,English (American)
sky,English (American)
couch,English (American)
pen,English (American)
corn,English (American)
bib,English (American)
shower,English (American)
pancake,English (American)
animal,English (American)
puzzle,English (American)
snow,English (American)
story,English (American)
popcorn,English (American)
stairs,English (American)
vacuum,English (American)
trash,English (American)
stick,English (American)
chocolate,English (American)
window,English (American)
stroller,English (American)
room,English (American)
peanut butter,English (American)
sandwich,English (American)
chips,English (American)
watch (object),English (American)
coffee,English (American)
raisin,English (American)
medicine,English (American)
shorts,English (American)
soup,English (American)
squirrel,English (American)
zipper,English (American)
tissue,English (American)
peas,English (American)
beans,English (American)
knife,English (American)
applesauce,English (American)
helicopter,English (American)
zebra,English (American)
tractor,English (American)
butter,English (American)
bedroom,English (American)
potato,English (American)
ant,English (American)
napkin,English (American)
hamburger,English (American)
cloud,English (American)
motorcycle,English (American)
alligator,English (American)
sweater,English (American)
sink,English (American)
refrigerator,English (American)
basket,English (American)
purse,English (American)
lip,English (American)
