"theword","block","response","totcount","count","proportion","language"
"accident","count_mass","unclear/unknown",7,2,0.285714285714286,"Turkish"
"accident","solidity","non-solid",6,3,0.5,"Turkish"
"accident","solidity","unclear/unknown",6,3,0.5,"Turkish"
"accident","count_mass","count noun",7,1,0.142857142857143,"Turkish"
"accident","count_mass","mass noun",7,4,0.571428571428571,"Turkish"
"accident","category_organization","material",7,1,0.142857142857143,"Turkish"
"accident","category_organization","none of these",7,6,0.857142857142857,"Turkish"
"air conditioner","category_organization","material",7,3,0.428571428571429,"Cantonese"
"air conditioner","category_organization","material",7,3,0.428571428571429,"Mandarin (Beijing)"
"air conditioner","category_organization","material",7,3,0.428571428571429,"Mandarin (Taiwanese)"
"air conditioner","category_organization","none of these",7,1,0.142857142857143,"Cantonese"
"air conditioner","category_organization","none of these",7,1,0.142857142857143,"Mandarin (Beijing)"
"air conditioner","category_organization","none of these",7,1,0.142857142857143,"Mandarin (Taiwanese)"
"air conditioner","count_mass","unclear/unknown",8,1,0.125,"Cantonese"
"air conditioner","count_mass","unclear/unknown",8,1,0.125,"Mandarin (Beijing)"
"air conditioner","count_mass","unclear/unknown",8,1,0.125,"Mandarin (Taiwanese)"
"air conditioner","category_organization","shape",7,3,0.428571428571429,"Cantonese"
"air conditioner","category_organization","shape",7,3,0.428571428571429,"Mandarin (Beijing)"
"air conditioner","category_organization","shape",7,3,0.428571428571429,"Mandarin (Taiwanese)"
"air conditioner","count_mass","count noun",8,5,0.625,"Cantonese"
"air conditioner","count_mass","count noun",8,5,0.625,"Mandarin (Beijing)"
"air conditioner","count_mass","count noun",8,5,0.625,"Mandarin (Taiwanese)"
"air conditioner","count_mass","mass noun",8,2,0.25,"Cantonese"
"air conditioner","count_mass","mass noun",8,2,0.25,"Mandarin (Beijing)"
"air conditioner","count_mass","mass noun",8,2,0.25,"Mandarin (Taiwanese)"
"air conditioner","solidity","non-solid",8,4,0.5,"Cantonese"
"air conditioner","solidity","non-solid",8,4,0.5,"Mandarin (Beijing)"
"air conditioner","solidity","non-solid",8,4,0.5,"Mandarin (Taiwanese)"
"air conditioner","solidity","solid",8,4,0.5,"Cantonese"
"air conditioner","solidity","solid",8,4,0.5,"Mandarin (Beijing)"
"air conditioner","solidity","solid",8,4,0.5,"Mandarin (Taiwanese)"
"airplane","category_organization","shape",10,3,0.3,"Russian"
"airplane","category_organization","shape",10,3,0.3,"Turkish"
"airplane","category_organization","shape",10,3,0.3,"Kiswahili"
"airplane","category_organization","shape",10,3,0.3,"Spanish (European)"
"airplane","category_organization","shape",10,3,0.3,"Japanese"
"airplane","category_organization","shape",10,3,0.3,"Spanish (Peruvian)"
