"theword","block","response","totcount","count","proportion","language"
"accident","solidity","non-solid",6,3,0.5,"Turkish"
"accident","solidity","unclear/unknown",6,3,0.5,"Turkish"
"air conditioner","solidity","non-solid",8,4,0.5,"Cantonese"
"air conditioner","solidity","non-solid",8,4,0.5,"Mandarin (Beijing)"
"air conditioner","solidity","non-solid",8,4,0.5,"Mandarin (Taiwanese)"
"air conditioner","solidity","solid",8,4,0.5,"Cantonese"
"air conditioner","solidity","solid",8,4,0.5,"Mandarin (Beijing)"
"air conditioner","solidity","solid",8,4,0.5,"Mandarin (Taiwanese)"
"airplane","solidity","solid",7,7,1,"Russian"
"airplane","solidity","solid",7,7,1,"Turkish"
"airplane","solidity","solid",7,7,1,"Kiswahili"
"airplane","solidity","solid",7,7,1,"Spanish (European)"
"airplane","solidity","solid",7,7,1,"Japanese"
"airplane","solidity","solid",7,7,1,"Spanish (Peruvian)"
"airplane","solidity","solid",7,7,1,"English (Australian)"
"airplane","solidity","solid",7,7,1,"English (American)"
"airplane","solidity","solid",7,7,1,"Cantonese"
"airplane","solidity","solid",7,7,1,"Korean"
"airplane","solidity","solid",7,7,1,"Catalan"
"airplane","solidity","solid",7,7,1,"French (French)"
"airplane","solidity","solid",7,7,1,"Mandarin (Taiwanese)"
"airplane","solidity","solid",7,7,1,"Spanish (Mexican)"
"airplane","solidity","solid",7,7,1,"Mandarin (Beijing)"
"album","solidity","unclear/unknown",7,1,0.142857142857143,"Russian"
"album","solidity","solid",7,6,0.857142857142857,"Russian"
"alligator","solidity","solid",8,7,0.875,"English (American)"
"alligator","solidity","solid",8,7,0.875,"Mandarin (Beijing)"
"alligator","solidity","solid",8,7,0.875,"Mandarin (Taiwanese)"
"alligator","solidity","unclear/unknown",8,1,0.125,"English (American)"
"alligator","solidity","unclear/unknown",8,1,0.125,"Mandarin (Beijing)"
"alligator","solidity","unclear/unknown",8,1,0.125,"Mandarin (Taiwanese)"
"ambulance","solidity","solid",9,9,1,"Spanish (European)"
"ambulance","solidity","solid",9,9,1,"Catalan"
"ambulance","solidity","solid",9,9,1,"Hebrew"
"ambulance","solidity","solid",9,9,1,"Mandarin (Taiwanese)"
"ambulance","solidity","solid",9,9,1,"Turkish"
"animal","solidity","non-solid",8,1,0.125,"English (Australian)"
"animal","solidity","non-solid",8,1,0.125,"Turkish"
"animal","solidity","non-solid",8,1,0.125,"Mandarin (Beijing)"
"animal","solidity","non-solid",8,1,0.125,"Catalan"
"animal","solidity","non-solid",8,1,0.125,"Japanese"
"animal","solidity","non-solid",8,1,0.125,"Spanish (European)"
"animal","solidity","non-solid",8,1,0.125,"Mandarin (Taiwanese)"
"animal","solidity","non-solid",8,1,0.125,"Korean"
"animal","solidity","non-solid",8,1,0.125,"Cantonese"
"animal","solidity","non-solid",8,1,0.125,"Spanish (Mexican)"
"animal","solidity","non-solid",8,1,0.125,"English (American)"
"animal","solidity","solid",8,6,0.75,"English (Australian)"
"animal","solidity","solid",8,6,0.75,"Turkish"
"animal","solidity","solid",8,6,0.75,"Mandarin (Beijing)"
"animal","solidity","solid",8,6,0.75,"Catalan"
"animal","solidity","solid",8,6,0.75,"Japanese"
"animal","solidity","solid",8,6,0.75,"Spanish (European)"
"animal","solidity","solid",8,6,0.75,"Mandarin (Taiwanese)"
"animal","solidity","solid",8,6,0.75,"Korean"
"animal","solidity","solid",8,6,0.75,"Cantonese"
"animal","solidity","solid",8,6,0.75,"Spanish (Mexican)"
"animal","solidity","solid",8,6,0.75,"English (American)"
"animal","solidity","unclear/unknown",8,1,0.125,"English (Australian)"
"animal","solidity","unclear/unknown",8,1,0.125,"Turkish"
"animal","solidity","unclear/unknown",8,1,0.125,"Mandarin (Beijing)"
"animal","solidity","unclear/unknown",8,1,0.125,"Catalan"
"animal","solidity","unclear/unknown",8,1,0.125,"Japanese"
"animal","solidity","unclear/unknown",8,1,0.125,"Spanish (European)"
"animal","solidity","unclear/unknown",8,1,0.125,"Mandarin (Taiwanese)"
"animal","solidity","unclear/unknown",8,1,0.125,"Korean"
"animal","solidity","unclear/unknown",8,1,0.125,"Cantonese"
"animal","solidity","unclear/unknown",8,1,0.125,"Spanish (Mexican)"
"animal","solidity","unclear/unknown",8,1,0.125,"English (American)"
"ankle","solidity","solid",6,6,1,"English (American)"
"ankle","solidity","solid",6,6,1,"Korean"
"ant","solidity","non-solid",7,3,0.428571428571429,"Mandarin (Beijing)"
"ant","solidity","non-solid",7,3,0.428571428571429,"English (American)"
"ant","solidity","non-solid",7,3,0.428571428571429,"French (French)"
"ant","solidity","non-solid",7,3,0.428571428571429,"Catalan"
"ant","solidity","non-solid",7,3,0.428571428571429,"Spanish (Mexican)"
"ant","solidity","non-solid",7,3,0.428571428571429,"English (Australian)"
"ant","solidity","non-solid",7,3,0.428571428571429,"Turkish"
"ant","solidity","non-solid",7,3,0.428571428571429,"Spanish (European)"
"ant","solidity","non-solid",7,3,0.428571428571429,"Korean"
"ant","solidity","non-solid",7,3,0.428571428571429,"Cantonese"
"ant","solidity","non-solid",7,3,0.428571428571429,"Mandarin (Taiwanese)"
"ant","solidity","non-solid",7,3,0.428571428571429,"Japanese"
"ant","solidity","solid",7,3,0.428571428571429,"Mandarin (Beijing)"
"ant","solidity","solid",7,3,0.428571428571429,"English (American)"
"ant","solidity","solid",7,3,0.428571428571429,"French (French)"
"ant","solidity","solid",7,3,0.428571428571429,"Catalan"
"ant","solidity","solid",7,3,0.428571428571429,"Spanish (Mexican)"
"ant","solidity","solid",7,3,0.428571428571429,"English (Australian)"
"ant","solidity","solid",7,3,0.428571428571429,"Turkish"
"ant","solidity","solid",7,3,0.428571428571429,"Spanish (European)"
"ant","solidity","solid",7,3,0.428571428571429,"Korean"
"ant","solidity","solid",7,3,0.428571428571429,"Cantonese"
"ant","solidity","solid",7,3,0.428571428571429,"Mandarin (Taiwanese)"
"ant","solidity","solid",7,3,0.428571428571429,"Japanese"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Mandarin (Beijing)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"English (American)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"French (French)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Catalan"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Spanish (Mexican)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"English (Australian)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Turkish"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Spanish (European)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Korean"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Cantonese"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Mandarin (Taiwanese)"
"ant","solidity","unclear/unknown",7,1,0.142857142857143,"Japanese"
"apple","solidity","solid",8,8,1,"Spanish (European)"
"apple","solidity","solid",8,8,1,"Japanese"
"apple","solidity","solid",8,8,1,"Catalan"
"apple","solidity","solid",8,8,1,"Mandarin (Beijing)"
"apple","solidity","solid",8,8,1,"Russian"
"apple","solidity","solid",8,8,1,"Spanish (Mexican)"
"apple","solidity","solid",8,8,1,"Mandarin (Taiwanese)"
"apple","solidity","solid",8,8,1,"Turkish"
"apple","solidity","solid",8,8,1,"Korean"
"apple","solidity","solid",8,8,1,"Cantonese"
"apple","solidity","solid",8,8,1,"English (American)"
"apple","solidity","solid",8,8,1,"French (French)"
"apple","solidity","solid",8,8,1,"English (Australian)"
"apple","solidity","solid",8,8,1,"Spanish (Peruvian)"
"applesauce","solidity","non-solid",3,3,1,"English (American)"
"applesauce","solidity","non-solid",3,3,1,"Spanish (European)"
"apricot","solidity","non-solid",8,3,0.375,"Turkish"
"apricot","solidity","solid",8,5,0.625,"Turkish"
