uni_lemma,language
banana,English (American)
shoe,English (American)
bird,English (American)
cat,English (American)
duck,English (American)
car,English (American)
eye,English (American)
nose,English (American)
kitty,English (American)
balloon,English (American)
bubbles,English (American)
apple,English (American)
cheese,English (American)
cookie,English (American)
milk,English (American)
hat,English (American)
ear,English (American)
bear,English (American)
fish (animal),English (American)
truck,English (American)
juice,English (American)
water (beverage),English (American)
diaper,English (American)
owie,English (American)
bottle,English (American)
cow,English (American)
airplane,English (American)
cracker,English (American)
sock,English (American)
belly button,English (American)
hair,English (American)
mouth,English (American)
cup,English (American)
spoon,English (American)
bed,English (American)
door,English (American)
tree,English (American)
water (not beverage),English (American)
bee,English (American)
bunny,English (American)
horse,English (American)
monkey,English (American)
pig,English (American)
puppy,English (American)
boat,English (American)
bus,English (American)
train,English (American)
toy (object),English (American)
pizza,English (American)
foot,English (American)
hand,English (American)
head,English (American)
toe,English (American)
tummy,English (American)
blanket,English (American)
key,English (American)
light (object),English (American)
telephone,English (American)
chair,English (American)
potty,English (American)
flower,English (American)
moon,English (American)
bug,English (American)
chicken (animal),English (American)
elephant,English (American)
frog,English (American)
turtle,English (American)
bicycle,English (American)
blocks,English (American)
doll,English (American)
bread,English (American)
cake,English (American)
cereal,English (American)
chicken (food),English (American)
drink (beverage),English (American)
egg,English (American)
grapes,English (American)
ice cream,English (American)
orange (food),English (American)
boots,English (American)
pants,English (American)
shirt,English (American)
arm,English (American)
butt,English (American)
finger,English (American)
tooth,English (American)
bowl,English (American)
box,English (American)
brush (object),English (American)
fork,English (American)
pillow,English (American)
toothbrush,English (American)
bathtub,English (American)
tv,English (American)
rain,English (American)
rock (object),English (American)
star,English (American)
sun,English (American)
swing (object),English (American)
butterfly,English (American)
lion,English (American)
mouse,English (American)
owl,English (American)
sheep,English (American)
teddybear,English (American)
tiger,English (American)
crayon,English (American)
candy,English (American)
carrot,English (American)
fish (food),English (American)
food,English (American)
french fries,English (American)
ice,English (American)
strawberry,English (American)
yogurt,English (American)
button,English (American)
coat,English (American)
jacket,English (American)
pajamas,English (American)
cheek,English (American)
face,English (American)
knee,English (American)
leg,English (American)
tongue,English (American)
paper,English (American)
soap,English (American)
towel,English (American)
bathroom,English (American)
table,English (American)
grass,English (American)
slide (object),English (American)
animal,English (American)
giraffe,English (American)
firetruck,English (American)
stroller,English (American)
pen,English (American)
puzzle,English (American)
story,English (American)
cheerios,English (American)
chocolate,English (American)
corn,English (American)
pasta,English (American)
pancake,English (American)
peanut butter,English (American)
popcorn,English (American)
chips,English (American)
sandwich,English (American)
toast,English (American)
bib,English (American)
chin,English (American)
broom,English (American)
clock,English (American)
glasses,English (American)
money,English (American)
picture,English (American)
plate,English (American)
trash,English (American)
vacuum,English (American)
couch,English (American)
kitchen,English (American)
room,English (American)
shower,English (American)
stairs,English (American)
window,English (American)
pool,English (American)
sky,English (American)
snow,English (American)
stick,English (American)
alligator,English (American)
ant,English (American)
squirrel,English (American)
zebra,English (American)
helicopter,English (American)
motorcycle,English (American)
tractor,English (American)
pencil,English (American)
present,English (American)
applesauce,English (American)
beans,English (American)
butter,English (American)
coffee,English (American)
hamburger,English (American)
peas,English (American)
popsicle,English (American)
potato,English (American)
pumpkin,English (American)
raisin,English (American)
soup,English (American)
dress (object),English (American)
shorts,English (American)
sweater,English (American)
zipper,English (American)
lip,English (American)
basket,English (American)
comb (object),English (American)
knife,English (American)
medicine,English (American)
napkin,English (American)
purse,English (American)
scissors,English (American)
tissue,English (American)
watch (object),English (American)
bedroom,English (American)
crib,English (American)
refrigerator,English (American)
sink,English (American)
cloud,English (American)
street,English (American)
deer,English (American)
penguin,English (American)
bat (object),English (American)
chalk,English (American)
game,English (American)
play dough,English (American)
pastry,English (American)
meat,English (American)
muffin,English (American)
pickle,English (American)
pretzel,English (American)
belt,English (American)
glove,English (American)
necklace,English (American)
slipper,English (American)
penis,English (American)
bucket,English (American)
camera,English (American)
glass,English (American)
hammer,English (American)
plant,English (American)
tape (object),English (American)
closet,English (American)
garage,English (American)
high chair,English (American)
oven,English (American)
flag,English (American)
shovel,English (American)
wind,English (American)
goose,English (American)
lamb,English (American)
pony,English (American)
rooster,English (American)
turkey,English (American)
green beans,English (American)
jelly,English (American)
lollipop,English (American)
nut,English (American)
sauce,English (American)
soda,English (American)
vitamin,English (American)
jeans,English (American)
mitten,English (American)
underpants,English (American)
shoulder,English (American)
can (object),English (American)
dish,English (American)
penny,English (American)
radio,English (American)
drawer,English (American)
dryer,English (American)
living room,English (American)
rocking chair,English (American)
stove,English (American)
washing machine,English (American)
yard,English (American)
hose,English (American)
ladder,English (American)
lawn mower,English (American)
sandbox,English (American)
sidewalk,English (American)
snowman,English (American)
donkey,English (American)
moose,English (American)
wolf,English (American)
glue (object),English (American)
gum,English (American)
jello,English (American)
melon,English (American)
salt,English (American)
lamp,English (American)
nail (object),English (American)
garden,English (American)
roof,English (American)
sprinkler,English (American)
tricycle,English (American)
coke,English (American)
pudding,English (American)
sneaker,English (American)
ankle,English (American)
jar,English (American)
mop (object),English (American)
stone,English (American)
water (beverage),Mandarin (Beijing)
milk,Mandarin (Beijing)
food,Mandarin (Beijing)
meat,Mandarin (Beijing)
fish (food),Mandarin (Beijing)
egg,Mandarin (Beijing)
dish,Mandarin (Beijing)
head,Mandarin (Beijing)
foot,Mandarin (Beijing)
fish (animal),Mandarin (Beijing)
bag,Mandarin (Beijing)
book,Mandarin (Beijing)
shoe,Mandarin (Beijing)
door,Mandarin (Beijing)
flower,Mandarin (Beijing)
bun,Mandarin (Beijing)
beans,Mandarin (Beijing)
sugar,Mandarin (Beijing)
hand,Mandarin (Beijing)
tummy,Mandarin (Beijing)
butt,Mandarin (Beijing)
bunny,Mandarin (Beijing)
horse,Mandarin (Beijing)
dog,Mandarin (Beijing)
duck,Mandarin (Beijing)
bird,Mandarin (Beijing)
chick,Mandarin (Beijing)
spoon,Mandarin (Beijing)
blanket,Mandarin (Beijing)
doll,Mandarin (Beijing)
pen,Mandarin (Beijing)
sock,Mandarin (Beijing)
porridge,Mandarin (Beijing)
rice,Mandarin (Beijing)
dumpling,Mandarin (Beijing)
pasta,Mandarin (Beijing)
shrimp,Mandarin (Beijing)
melon,Mandarin (Beijing)
banana,Mandarin (Beijing)
orange (food),Mandarin (Beijing)
pear,Mandarin (Beijing)
face,Mandarin (Beijing)
nose,Mandarin (Beijing)
mouth,Mandarin (Beijing)
tooth,Mandarin (Beijing)
leg,Mandarin (Beijing)
sheep,Mandarin (Beijing)
tiger,Mandarin (Beijing)
cow,Mandarin (Beijing)
bowl,Mandarin (Beijing)
cup,Mandarin (Beijing)
knife,Mandarin (Beijing)
clock,Mandarin (Beijing)
medicine,Mandarin (Beijing)
basin,Mandarin (Beijing)
paper,Mandarin (Beijing)
pocket,Mandarin (Beijing)
button,Mandarin (Beijing)
bed,Mandarin (Beijing)
tree,Mandarin (Beijing)
water (not beverage),Mandarin (Beijing)
street,Mandarin (Beijing)
soup,Mandarin (Beijing)
apple,Mandarin (Beijing)
